FOLD,SHIP_NO,DWG_NO,TRUE_CODE,PRED_CODE
1,814006,WN61ST741,1_G,"1_G, 1_1"
1,241906,SE51BA201,1_G,"1_1, 1_2"
1,242306,SE51BC101,1_G,"1_1, 1_2"
1,241606,SE51BA201,1_G,"1_1, 1_2"
1,241506,SE51BA201,1_G,"1_1, 1_2"
1,241406,SE51BA201,1_G,"1_1, 1_2"
1,242206,WN31ST712,1_G,"1_G, 1_D"
1,242106,WN31ST712,1_G,"1_G, 1_D"
1,241906,WN31ST712,1_G,"1_G, 1_D"
1,251306,WH12CT711,1_G,"1_1, 1_G"
1,251106,WL11CT741,1_G,1_2
1,409206,WS16SF6H3,1_G,1_8
1,409206,WE51PF6H3,1_G,"1_G, 1_2"
1,242606,SD31CA201,1_G,"1_1, 1_G"
1,254406,WA600EB11,1_G,"1_G, 1_9"
1,251806,WA600EB11,1_G,"1_G, 1_9"
1,242106,W1D16F851,1_G,"1_G, 1_D"
1,251606,WH11CF782,1_G,"1_G, 1_2"
1,251206,WH11CF782,1_G,"1_G, 1_2"
1,251106,WH11CF782,1_G,"1_G, 1_2"
1,252706,WH51CD711,1_G,"1_G, 1_1"
1,246606,WH11CT711,1_G,"1_1, 1_G"
1,238006,WA100FB12,1_G,"1_G, 2_4"
1,S42006,WH11CH716,1_G,"1_G, 1_6"
1,409306,SS12BA201,1_G,"1_1, 1_G"
1,252206,WH12CT711,1_G,"1_1, 1_G"
1,251606,WH12CT711,1_G,"1_1, 1_G"
1,251406,WH12CT711,1_G,"1_1, 1_G"
1,241806,NF51CF786,1_G,"1_G, 1_6"
1,814606,WA281KB24,1_G,"1_G, 1_D"
1,814606,WA400FB41,1_G,"1_G, 1_1"
1,251906,2A800A060,1_G,"1_G, 1_1"
1,251406,2A800A060,1_G,"1_G, 1_1"
1,251506,2A800A060,1_G,"1_G, 1_1"
1,251606,2A800A060,1_G,"1_G, 1_1"
1,251206,2A800A060,1_G,"1_G, 1_1"
1,S40706,WF71CF761,1_G,5_2
1,247806,WF61ST761,1_G,"1_G, 1_1"
1,247806,WF61PT761,1_G,"1_G, 1_1"
1,247706,WF61ST761,1_G,"1_G, 1_1"
1,814706,WD42PF7B5,1_G,"1_G, 6_1"
1,814806,WA100FB12,1_G,"1_G, 1_1"
1,814706,WA100FB12,1_G,"1_G, 1_1"
1,242806,SS13BA201,1_G,"1_1, 1_G"
1,251406,WH51CH719,1_G,"1_G, 1_D"
1,251806,2A000H002,1_G,"1_G, 1_2"
1,248106,WA100FB12,1_G,"1_G, 2_4"
1,242206,NF51CF786,1_G,"1_G, 1_6"
1,252706,WN31CE711,1_G,"1_G, 1_2"
1,814806,SE92PC101,1_G,"1_G, 1_1"
1,814806,WA100FB12,1_G,"1_G, 1_1"
1,409206,SB16BA201,1_G,"1_1, 1_G"
1,251906,1A000E008,1_G,"1_G, 1_1"
1,251706,1A000E008,1_G,"1_G, 1_1"
1,251506,1A000E008,1_G,"1_G, 1_1"
1,246606,WA100TB12,1_G,"1_1, 1_G"
1,254306,WH41CY711,1_G,"1_G, 2_4"
1,254406,WD92PF753,1_G,"1_G, 1_2"
1,254306,WD92PF753,1_G,"1_G, 1_2"
1,251806,WD92PF753,1_G,"1_G, 1_2"
1,254106,WM1-ABM29,1_G,"1_G, 1_1"
1,251606,WM1-ABM29,1_G,"1_G, 1_1"
1,251406,WM1-ABM29,1_G,"1_G, 1_1"
1,251206,WM1-ABM29,1_G,"1_G, 1_1"
1,814606,WA600FB63,1_G,"1_G, 1_1"
1,251106,WA100FB12,1_G,"1_G, 2_4"
1,242606,SS18BA201,1_G,"1_1, 1_G"
1,242506,SS17BA201,1_G,"1_1, 1_G"
1,242006,SN21BA201,1_G,"1_1, 1_G"
1,242006,NH11CD781,1_G,"1_1, 1_G"
1,242306,WH11CD713,1_G,"1_G, 1_1"
1,242206,WH11CD713,1_G,"1_G, 1_1"
1,241906,WH11CD713,1_G,"1_G, 1_1"
1,244706,WD92PT756,1_G,"1_1, 1_G"
1,242506,SE51BA201,1_G,"1_1, 1_2"
1,409306,WE51PE711,1_G,"1_G, 1_1"
1,408506,SS27BC101,1_G,1_1
1,S09206,WH11CH721,1_G,"1_G, 1_6"
